Experiment,Split,learn-rate-max,user-reg,item-reg,num-factors,NormalizedDCGEvaluator,ndcg_metric.py
exp00000,0,0.001,0.001,0.001,5.0,0.05437472888321479,0.05309506953793477
exp00000,1,0.001,0.001,0.001,5.0,0.05978687877567753,0.05278812493323645
exp00000,2,0.001,0.001,0.001,5.0,0.05478143433991633,0.0581302384531628
