Experiment,Split,user-reg,item-reg,NormalizedDCGEvaluator,PrecisionEvaluator,PStatisticalParityEvaluator
exp00000,0,0.001,0.001,0.037097309676195935,0.012768304914744419,0.3843329989969759
exp00000,1,0.001,0.001,0.039515407175299694,0.012575301204819443,0.22361445783124684
exp00000,2,0.001,0.001,0.040927857078668806,0.01282886494612899,0.41194688048106576
exp00001,0,0.15506279485687013,0.39966138301093335,0.037097309676195935,0.012768304914744419,0.3843329989969759
exp00001,1,0.15506279485687013,0.39966138301093335,0.039515407175299694,0.012575301204819443,0.22361445783124684
exp00001,2,0.15506279485687013,0.39966138301093335,0.040927857078668806,0.01282886494612899,0.41194688048106576
exp00002,0,0.18791831772545525,0.6637912211602464,0.037097309676195935,0.012768304914744419,0.3843329989969759
exp00002,1,0.18791831772545525,0.6637912211602464,0.039515407175299694,0.012575301204819443,0.22361445783124684
exp00002,2,0.18791831772545525,0.6637912211602464,0.040927857078668806,0.01282886494612899,0.41194688048106576
exp00003,0,0.38491098119015044,0.5174790042620311,0.037097309676195935,0.012768304914744419,0.3843329989969759
exp00003,1,0.38491098119015044,0.5174790042620311,0.039515407175299694,0.012575301204819443,0.22361445783124684
exp00003,2,0.38491098119015044,0.5174790042620311,0.040927857078668806,0.01282886494612899,0.41194688048106576
exp00004,0,0.12091681502384216,0.3757534263959672,0.037097309676195935,0.012768304914744419,0.3843329989969759
exp00004,1,0.12091681502384216,0.3757534263959672,0.039515407175299694,0.012575301204819443,0.22361445783124684
exp00004,2,0.12091681502384216,0.3757534263959672,0.040927857078668806,0.01282886494612899,0.41194688048106576
