Experiment,Split,user-reg,item-reg,num-factors,NormalizedDCGEvaluator,ndcg_metric.py
exp00000,0,0.001,0.001,5.0,0.0799734550835551,0.08602052005847752
exp00000,1,0.001,0.001,5.0,0.08109287057509594,0.07999130921491227
exp00000,2,0.001,0.001,5.0,0.08567517078561701,0.08177121518095981
